_id	x	y	senses
time/NN/Encow_sample_6735/72	-30.9296	-7.4403	time_3
time/NN/Encow_sample_27/29	16.5019	-6.9492	time_8
time/NN/Encow_sample_1840/58	-28.1774	-17.0501	time_3
time/NN/Encow_sample_5500/64	0.0	0.0	time_1
time/NNS/Encow_sample_3199/32	-0.027	-18.4448	time_1
time/NN/Encow_sample_13438/50	11.2571	29.9233	time_2
time/NN/Encow_sample_28782/97	-5.3929	15.9637	time_2
time/NNS/Encow_sample_10357/21	8.0797	-14.6053	time_2
time/NN/Encow_sample_17321/65	0.5669	-7.1691	time_7
time/NN/Encow_sample_3873/23	-32.8265	-8.8496	time_2
time/NN/Encow_sample_24638/79	10.9109	-0.756	time_8
time/NN/Encow_sample_31115/5	12.7578	-30.5464	time_8
time/NN/Encow_sample_3684/70	-17.5596	20.1101	time_2
time/NNS/Encow_sample_32490/89	7.941	-14.9152	time_2
time/NN/Encow_sample_28789/58	27.1059	18.6377	time_1
time/NN/Encow_sample_14570/63	27.9135	-21.9548	time_1
time/NN/Encow_sample_12316/74	20.2467	2.0147	time_8
time/NNS/Encow_sample_28567/31	15.8046	10.9869	time_4
time/NN/Encow_sample_26684/10	1.2586	4.8541	time_8
time/NN/Encow_sample_28482/18	20.3816	-16.4468	time_2
time/NN/Encow_sample_2910/14	-18.3453	8.0433	time_2
time/NN/Encow_sample_5706/14	-13.6767	-26.8194	time_1
time/NN/Encow_sample_3115/67	7.3175	-20.8063	time_2
time/NNS/Encow_sample_28240/49	8.4722	-2.5657	time_2
time/NN/Encow_sample_28561/53	4.0218	8.0963	time_1
time/NN/Encow_sample_22448/8	14.6218	10.6067	time_2
time/NNS/Encow_sample_24529/86	-4.7442	8.4381	time_1
time/NN/Encow_sample_29552/7	11.246	30.102	time_5
time/NN/Encow_sample_30952/78	9.4351	-0.9021	time_3
time/NN/Encow_sample_5728/76	-6.1558	-3.6342	time_2
time/NN/Encow_sample_25012/34	-7.1127	2.4494	time_5
time/NN/Encow_sample_29841/49	-13.1411	-28.348	time_1
